Product_ID,Product_Name,Main_Category,Sub_Category,Price_INR,Color,Fabric,Units_Sold_30_Days,Revenue_30_Days,Stock_Status,Customer_Rating,Num_Reviews,Performance_Tier,Date_Added,Price_Band
TSI0001,Mats & Napkins Pink,Dining,Mats & Napkins,2889.63,Green,Cotton Sheeting,5,14448.14,In Stock,3.7,1,Slow,2024-04-10,Mid-Range (₹2-3K)
TSI0002,Mats & Napkins Navy,Dining,Mats & Napkins,561.75,Red,Silk,6,3370.52,In Stock,4.79,1,Slow,2024-07-22,Budget (<₹1K)
TSI0003,Mats & Napkins Indigo,Dining,Mats & Napkins,2335.56,Yellow,Cotton Sheeting,25,58388.97,In Stock,3.62,5,Average,2024-09-16,Mid-Range (₹2-3K)
TSI0004,Mats & Napkins Cream,Dining,Mats & Napkins,3079.82,Navy,Cotton Cambric,27,83155.17,Out of Stock,4.76,7,Average,2025-02-28,Premium (₹3-5K)
TSI0005,Kitchen Linen Black,Dining,Kitchen Linen,1820.46,Natural,Chanderi Silk,44,80100.13,Out of Stock,3.84,10,Average,2024-07-17,Economy (₹1-2K)
TSI0006,Table Runners Pink,Dining,Table Runners,5160.29,Natural,Wool,19,98045.51,Out of Stock,4.28,5,Average,2025-05-27,Luxury (>₹5K)
TSI0007,Table Cloths Cream,Dining,Table Cloths,3383.52,Multi,Cotton Voile,33,111656.03,In Stock,3.87,6,Average,2024-08-31,Premium (₹3-5K)
TSI0008,Kitchen Linen Navy,Dining,Kitchen Linen,1684.64,Yellow,Silk,130,219003.79,Low Stock,4.83,28,Bestseller,2026-01-06,Economy (₹1-2K)
TSI0009,Mats & Napkins Emerald,Dining,Mats & Napkins,3050.12,White,Cotton Voile,111,338562.85,In Stock,4.78,25,Bestseller,2024-05-31,Premium (₹3-5K)
TSI0010,Mats & Napkins Navy,Dining,Mats & Napkins,2639.73,Indigo,Cotton Textured,23,60713.89,In Stock,4.18,4,Average,2024-07-08,Mid-Range (₹2-3K)
TSI0011,Kitchen Linen Multi,Dining,Kitchen Linen,2409.23,Beige,Wool,39,93960.02,In Stock,4.29,8,Average,2024-03-06,Mid-Range (₹2-3K)
TSI0012,Mats & Napkins Beige,Dining,Mats & Napkins,983.66,Natural,Wool,9,8852.97,In Stock,4.09,1,Slow,2025-02-20,Budget (<₹1K)
TSI0013,Table Cloths Cream,Dining,Table Cloths,1454.01,Natural,Cotton Cambric,22,31988.23,Out of Stock,3.51,4,Average,2025-06-23,Economy (₹1-2K)
TSI0014,Mats & Napkins Blue,Dining,Mats & Napkins,1308.24,Navy,Cotton Sheeting,41,53637.72,In Stock,4.41,7,Average,2025-05-11,Economy (₹1-2K)
TSI0015,Table Runners Yellow,Dining,Table Runners,2588.91,Green,Cotton Voile,130,336558.67,In Stock,4.98,23,Bestseller,2025-01-14,Mid-Range (₹2-3K)
TSI0016,Mats & Napkins Emerald,Dining,Mats & Napkins,2542.12,Blue,Chanderi Silk,15,38131.75,In Stock,4.37,3,Average,2025-04-29,Mid-Range (₹2-3K)
TSI0017,Table Cloths Multi,Dining,Table Cloths,2396.92,White,Cotton Sheeting,25,59922.94,Out of Stock,3.92,3,Average,2024-12-27,Mid-Range (₹2-3K)
TSI0018,Table Runners Emerald,Dining,Table Runners,2036.28,Indigo,Silk,42,85523.73,In Stock,4.17,11,Average,2024-10-18,Mid-Range (₹2-3K)
TSI0019,Table Runners Black,Dining,Table Runners,3274.08,Blue,Cotton Cambric,25,81852.02,Out of Stock,4.22,5,Average,2025-12-28,Premium (₹3-5K)
TSI0020,Kitchen Linen Pink,Dining,Kitchen Linen,2399.3,Beige,Cotton Voile,25,59982.61,Out of Stock,4.65,6,Average,2024-12-10,Mid-Range (₹2-3K)
TSI0021,Table Runners Black,Dining,Table Runners,2506.96,Black,Chanderi Silk,34,85236.8,Low Stock,3.51,4,Average,2025-08-24,Mid-Range (₹2-3K)
TSI0022,Kitchen Linen Yellow,Dining,Kitchen Linen,3483.37,White,Cotton Voile,191,665324.13,In Stock,4.8,43,Bestseller,2024-05-04,Premium (₹3-5K)
TSI0023,Table Cloths Red,Dining,Table Cloths,2127.62,Pink,100% Cotton,31,65956.24,In Stock,4.76,5,Average,2025-05-02,Mid-Range (₹2-3K)
TSI0024,Table Runners Indigo,Dining,Table Runners,2435.31,Indigo,Cotton Cambric,3,7305.93,In Stock,4.5,1,Slow,2024-09-03,Mid-Range (₹2-3K)
TSI0025,Mats & Napkins Green,Dining,Mats & Napkins,2743.16,Yellow,Cotton Voile,40,109726.25,Out of Stock,4.61,6,Average,2025-05-23,Mid-Range (₹2-3K)
TSI0026,Mats & Napkins Red,Dining,Mats & Napkins,1008.48,Yellow,100% Cotton,3,3025.43,In Stock,3.63,1,Slow,2024-05-05,Economy (₹1-2K)
TSI0027,Mats & Napkins Yellow,Dining,Mats & Napkins,1385.87,Navy,Cotton Textured,9,12472.85,Low Stock,3.97,1,Slow,2024-12-22,Economy (₹1-2K)
